location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Trevi Fountain, Sights & Landmarks & Points of Interest & Landmarks & Fountains, #lat#, #lng#, 282669387, 20150624, 2E0C38DC2A7832D3799EC5186891866D, 3.0, 4.5, lkaz2015, /Attraction_Review-g187791-d190131-Reviews-Trevi_Fountain-Rome_Lazio.html
Trevi Fountain, Sights & Landmarks & Points of Interest & Landmarks & Fountains, #lat#, #lng#, 282610827, 20150624, 6A36AACED9EBC3803704532186F85FE3, 3.0, 4.5, Richyuk, /Attraction_Review-g187791-d190131-Reviews-Trevi_Fountain-Rome_Lazio.html
Trevi Fountain, Sights & Landmarks & Points of Interest & Landmarks & Fountains, #lat#, #lng#, 282598607, 20150624, D29EF8E1385F263731980BB94D4DB37F, 3.0, 4.5, 377remih, /Attraction_Review-g187791-d190131-Reviews-Trevi_Fountain-Rome_Lazio.html
Trevi Fountain, Sights & Landmarks & Points of Interest & Landmarks & Fountains, #lat#, #lng#, 282596279, 20150624, C1CE4A94BFE66BB61F9193398AA80741, 4.0, 4.5, Wes C, /Attraction_Review-g187791-d190131-Reviews-Trevi_Fountain-Rome_Lazio.html
Trevi Fountain, Sights & Landmarks & Points of Interest & Landmarks & Fountains, #lat#, #lng#, 282593794, 20150624, EDBAE8811785951C73B223450481EB30, 3.0, 4.5, h0gan, /Attraction_Review-g187791-d190131-Reviews-Trevi_Fountain-Rome_Lazio.html
Trevi Fountain, Sights & Landmarks & Points of Interest & Landmarks & Fountains, #lat#, #lng#, 282590067, 20150624, 60BAAFACF6B80DF74A969C09A4F27269, 3.0, 4.5, 466marlen, /Attraction_Review-g187791-d190131-Reviews-Trevi_Fountain-Rome_Lazio.html
Trevi Fountain, Sights & Landmarks & Points of Interest & Landmarks & Fountains, #lat#, #lng#, 282585913, 20150624, 955F26739E671CDD07DECE79CC199983, 3.0, 4.5, ekellyie, /Attraction_Review-g187791-d190131-Reviews-Trevi_Fountain-Rome_Lazio.html
Trevi Fountain, Sights & Landmarks & Points of Interest & Landmarks & Fountains, #lat#, #lng#, 282559426, 20150624, 8F79112E4301107535FD271468D89C42, 3.0, 4.5, raels-grant, /Attraction_Review-g187791-d190131-Reviews-Trevi_Fountain-Rome_Lazio.html
Trevi Fountain, Sights & Landmarks & Points of Interest & Landmarks & Fountains, #lat#, #lng#, 282546471, 20150624, 78217214016EC57A3CB0301E75A3D122, 5.0, 4.5, HappyTravellers222, /Attraction_Review-g187791-d190131-Reviews-Trevi_Fountain-Rome_Lazio.html
Trevi Fountain, Sights & Landmarks & Points of Interest & Landmarks & Fountains, #lat#, #lng#, 282534397, 20150623, 5A87F0935DF6EA8552EB35790F94D17B, 3.0, 4.5, David M, /Attraction_Review-g187791-d190131-Reviews-Trevi_Fountain-Rome_Lazio.html
